prompt,completion
這部達文西密碼真棒。,1
這部蝙蝠俠真棒。,1
這部斷背山真棒。,1
這部哈利波特真棒。,1
這部驚魂記真棒。,1
這部星際大戰真棒。,1
這部不可能的任務真棒。,1
這部達文西密碼糟透了。,0
這部蝙蝠俠糟透了。,0
這部斷背山糟透了。,0
這部哈利波特糟透了。,0
這部驚魂記糟透了。,0
這部星際大戰糟透了。,0
這部不可能的任務糟透了。,0
我非常喜歡這部達文西密碼。,1
我非常喜歡這部蝙蝠俠。,1
我非常喜歡這部斷背山。,1
我非常喜歡這部哈利波特。,1
我非常喜歡這部驚魂記。,1
我非常喜歡這部星際大戰。,1
我非常喜歡這部不可能的任務。,1
我真的很喜歡這部達文西密碼。,1
我真的很喜歡這部蝙蝠俠。,1
我真的很喜歡這部斷背山。,1
我真的很喜歡這部哈利波特。,1
我真的很喜歡這部驚魂記。,1
我真的很喜歡這部星際大戰。,1
我真的很喜歡這部不可能的任務。,1
我喜歡這部達文西密碼....,1
我喜歡這部蝙蝠俠....,1
我喜歡這部斷背山....,1
我喜歡這部哈利波特....,1
我喜歡這部驚魂記....,1
我喜歡這部星際大戰....,1
我喜歡這部不可能的任務....,1
我喜歡這部達文西密碼..,1
我喜歡這部蝙蝠俠..,1
我喜歡這部斷背山..,1
我喜歡這部哈利波特..,1
我喜歡這部驚魂記..,1
我喜歡這部星際大戰..,1
我喜歡這部不可能的任務..,1
這部達文西密碼是一部很棒的達文西密碼....,1
這部蝙蝠俠是一部很棒的蝙蝠俠....,1
這部斷背山是一部很棒的斷背山....,1
這部哈利波特是一部很棒的哈利波特....,1
這部驚魂記是一部很棒的驚魂記....,1
這部星際大戰是一部很棒的星際大戰....,1
這部不可能的任務是一部很棒的不可能的任務....,1
我很喜歡這部達文西密碼。,1
我很喜歡這部蝙蝠俠。,1
我很喜歡這部斷背山。,1
我很喜歡這部哈利波特。,1
我很喜歡這部驚魂記。,1
我很喜歡這部星際大戰。,1
我很喜歡這部不可能的任務。,1
這部達文西密碼很棒。,1
這部蝙蝠俠很棒。,1
這部斷背山很棒。,1
這部哈利波特很棒。,1
這部驚魂記很棒。,1
這部星際大戰很棒。,1
這部不可能的任務很棒。,1
這部達文西密碼很棒...,1
這部蝙蝠俠很棒...,1
這部斷背山很棒...,1
這部哈利波特很棒...,1
這部驚魂記很棒...,1
這部星際大戰很棒...,1
這部不可能的任務很棒...,1
值得的人知道我有多愛這部達文西密碼。,1
值得的人知道我有多愛這部蝙蝠俠。,1
值得的人知道我有多愛這部斷背山。,1
值得的人知道我有多愛這部哈利波特。,1
值得的人知道我有多愛這部驚魂記。,1
值得的人知道我有多愛這部星際大戰。,1
值得的人知道我有多愛這部不可能的任務。,1
這部達文西密碼絕對棒極了！,1
這部蝙蝠俠絕對棒極了！,1
這部斷背山絕對棒極了！,1
這部哈利波特絕對棒極了！,1
這部驚魂記絕對棒極了！,1
這部星際大戰絕對棒極了！,1
這部不可能的任務絕對棒極了！,1
這部達文西密碼是一部很棒的達文西密碼...,1
這部蝙蝠俠是一部很棒的蝙蝠俠...,1
這部斷背山是一部很棒的斷背山...,1
這部哈利波特是一部很棒的哈利波特...,1
這部驚魂記是一部很棒的驚魂記...,1
這部星際大戰是一部很棒的星際大戰...,1
這部不可能的任務是一部很棒的不可能的任務...,1
達文西密碼很美...,1
蝙蝠俠很美...,1
斷背山很美...,1
哈利波特很美...,1
驚魂記很美...,1
星際大戰很美...,1
不可能的任務很美...,1
我討厭這部達文西密碼。,0
我討厭這部蝙蝠俠。,0
我討厭這部斷背山。,0
我討厭這部哈利波特。,0
我討厭這部驚魂記。,0
我討厭這部星際大戰。,0
我討厭這部不可能的任務。,0
達文西密碼糟透了。,0
蝙蝠俠糟透了。,0
斷背山糟透了。,0
哈利波特糟透了。,0
驚魂記糟透了。,0
星際大戰糟透了。,0
不可能的任務糟透了。,0
我真的很討厭這部達文西密碼..,0
我真的很討厭這部蝙蝠俠..,0
我真的很討厭這部斷背山..,0
我真的很討厭這部哈利波特..,0
我真的很討厭這部驚魂記..,0
我真的很討厭這部星際大戰..,0
我真的很討厭這部不可能的任務..,0
我聽說這部達文西密碼只有,0
我聽說這部蝙蝠俠只有,0
我聽說這部斷背山只有,0
我聽說這部哈利波特只有,0
我聽說這部驚魂記只有,0
我聽說這部星際大戰只有,0
我聽說這部不可能的任務只有,0
這部達文西密碼很蠢。,0
這部蝙蝠俠很蠢。,0
這部斷背山很蠢。,0
這部哈利波特很蠢。,0
這部驚魂記很蠢。,0
這部星際大戰很蠢。,0
這部不可能的任務很蠢。,0
這可能就是我不喜歡這部達文西密碼的原因......,0
這可能就是我不喜歡這部蝙蝠俠的原因......,0
這可能就是我不喜歡這部斷背山的原因......,0
這可能就是我不喜歡這部哈利波特的原因......,0
這可能就是我不喜歡這部驚魂記的原因......,0
這可能就是我不喜歡這部星際大戰的原因......,0
這可能就是我不喜歡這部不可能的任務的原因......,0
愚蠢的達文西密碼參考我做了。,0
愚蠢的蝙蝠俠參考我做了。,0
愚蠢的斷背山參考我做了。,0
愚蠢的哈利波特參考我做了。,0
愚蠢的驚魂記參考我做了。,0
愚蠢的星際大戰參考我做了。,0
愚蠢的不可能的任務參考我做了。,0
我認為這部達文西密碼是一部糟糕的達文西密碼。,0
我認為這部蝙蝠俠是一部糟糕的蝙蝠俠。,0
我認為這部斷背山是一部糟糕的斷背山。,0
我認為這部哈利波特是一部糟糕的哈利波特。,0
我認為這部驚魂記是一部糟糕的驚魂記。,0
我認為這部星際大戰是一部糟糕的星際大戰。,0
我認為這部不可能的任務是一部糟糕的不可能的任務。,0
這部達文西密碼令人難以置信的壓抑......,0
這部蝙蝠俠令人難以置信的壓抑......,0
這部斷背山令人難以置信的壓抑......,0
這部哈利波特令人難以置信的壓抑......,0
這部驚魂記令人難以置信的壓抑......,0
這部星際大戰令人難以置信的壓抑......,0
這部不可能的任務令人難以置信的壓抑......,0
好吧，這部達文西密碼真是一部可怕的達文西密碼。,0
好吧，這部蝙蝠俠真是一部可怕的蝙蝠俠。,0
好吧，這部斷背山真是一部可怕的斷背山。,0
好吧，這部哈利波特真是一部可怕的哈利波特。,0
好吧，這部驚魂記真是一部可怕的驚魂記。,0
好吧，這部星際大戰真是一部可怕的星際大戰。,0
好吧，這部不可能的任務真是一部可怕的不可能的任務。,0
哦，這部達文西密碼是一部糟糕的達文西密碼。,0
哦，這部蝙蝠俠是一部糟糕的蝙蝠俠。,0
哦，這部斷背山是一部糟糕的斷背山。,0
哦，這部哈利波特是一部糟糕的哈利波特。,0
哦，這部驚魂記是一部糟糕的驚魂記。,0
哦，這部星際大戰是一部糟糕的星際大戰。,0
哦，這部不可能的任務是一部糟糕的不可能的任務。,0
