prompt,completion
where does one  start...and stop... with a treat like this,1
Arrived in pieces,0
"It isn't blanc mange, but isn't bad . . .",1
Happy with the product,1
Good Sauce,1
Blackcat,1
Excellent product,1
Bulk k-Cups,1
FABULOUS...,1
"Exactly what I was looking for: Fast, fantastic Chai!",1
Broken in a million pieces,0
Deceptive description,0
Makes me drool just thinking of them,1
these are mini candy bars.,0
My dogs love them!,1
"Loved these gluten free healthy bars, saved $$ ordering on Amazon",1
Should advertise coconut as an ingredient more prominently,0
Great bold taste-- compare to Emeril's Bold,1
Great flavor no bite,1
Great bold taste-- compare to Emeril's Bold,1
Great flavor no bite,1
Food Caused Illness,0
Yum,1
Should advertise coconut as an ingredient more prominently,0
"Loved these gluten free healthy bars, saved $$ ordering on Amazon",1
yummy,1
