prompt,completion
Da Vinci Code is just awesome.,1
Bat Man is just awesome.,1
Brokeback Mountain is just awesome.,1
Harry Potter is just awesome.,1
Psycho is just awesome.,1
Start Wars is just awesome.,1
Mission Impossible is just awesome.,1
Da Vinci Code sucks.,0
Bat Man sucks.,0
Brokeback Mountain sucks.,0
Harry Potter sucks.,0
Psycho sucks.,0
Start Wars sucks.,0
Mission Impossible sucks.,0
i liked Da Vinci Code a lot.,1
i liked Bat Man a lot.,1
i liked Brokeback Mountain a lot.,1
i liked Harry Potter a lot.,1
i liked Psycho a lot.,1
i liked Start Wars a lot.,1
i liked Mission Impossible a lot.,1
i really like Da Vinci Code.,1
i really like Bat Man.,1
i really like Brokeback Mountain.,1
i really like Harry Potter.,1
i really like Psycho.,1
i really like Start Wars.,1
i really like Mission Impossible.,1
i love Da Vinci Code....,1
i love Bat Man....,1
i love Brokeback Mountain....,1
i love Harry Potter....,1
i love Psycho....,1
i love Start Wars....,1
i love Mission Impossible....,1
i loved Da Vinci Code..,1
i loved Bat Man..,1
i loved Brokeback Mountain..,1
i loved Harry Potter..,1
i loved Psycho..,1
i loved Start Wars..,1
i loved Mission Impossible..,1
Da Vinci Code is an awesome movie....,1
Bat Man is an awesome movie....,1
Brokeback Mountain is an awesome movie....,1
Harry Potter is an awesome movie....,1
Psycho is an awesome movie....,1
Start Wars is an awesome movie....,1
Mission Impossible is an awesome movie....,1
i enjoyed Da Vinci Code.,1
i enjoyed Bat Man.,1
i enjoyed Brokeback Mountain.,1
i enjoyed Harry Potter.,1
i enjoyed Psycho.,1
i enjoyed Start Wars.,1
i enjoyed Mission Impossible.,1
Da Vinci Code is amazing.,1
Bat Man is amazing.,1
Brokeback Mountain is amazing.,1
Harry Potter is amazing.,1
Psycho is amazing.,1
Start Wars is amazing.,1
Mission Impossible is amazing.,1
Da Vinci Code was awesome...,1
Bat Man was awesome...,1
Brokeback Mountain was awesome...,1
Harry Potter was awesome...,1
Psycho was awesome...,1
Start Wars was awesome...,1
Mission Impossible was awesome...,1
people who are worth it know how much i love Da Vinci Code.,1
people who are worth it know how much i love Bat Man.,1
people who are worth it know how much i love Brokeback Mountain.,1
people who are worth it know how much i love Harry Potter.,1
people who are worth it know how much i love Psycho.,1
people who are worth it know how much i love Start Wars.,1
people who are worth it know how much i love Mission Impossible.,1
Da Vinci Code was absolutely awesome!,1
Bat Man was absolutely awesome!,1
Brokeback Mountain was absolutely awesome!,1
Harry Potter was absolutely awesome!,1
Psycho was absolutely awesome!,1
Start Wars was absolutely awesome!,1
Mission Impossible was absolutely awesome!,1
Da Vinci Code was an awesome movie...,1
Bat Man was an awesome movie...,1
Brokeback Mountain was an awesome movie...,1
Harry Potter was an awesome movie...,1
Psycho was an awesome movie...,1
Start Wars was an awesome movie...,1
Mission Impossible was an awesome movie...,1
Da Vinci Code was beautiful...,1
Bat Man was beautiful...,1
Brokeback Mountain was beautiful...,1
Harry Potter was beautiful...,1
Psycho was beautiful...,1
Start Wars was beautiful...,1
Mission Impossible was beautiful...,1
i hate Da Vinci Code.,0
i hate Bat Man.,0
i hate Brokeback Mountain.,0
i hate Harry Potter.,0
i hate Psycho.,0
i hate Start Wars.,0
i hate Mission Impossible.,0
Da Vinci Code sucked.,0
Bat Man sucked.,0
Brokeback Mountain sucked.,0
Harry Potter sucked.,0
Psycho sucked.,0
Start Wars sucked.,0
Mission Impossible sucked.,0
i really hate Da Vinci Code..,0
i really hate Bat Man..,0
i really hate Brokeback Mountain..,0
i really hate Harry Potter..,0
i really hate Psycho..,0
i really hate Start Wars..,0
i really hate Mission Impossible..,0
i heard Da Vinci Code get only 2 stars:,0
i heard Bat Man get only 2 stars:,0
i heard Brokeback Mountain get only 2 stars:,0
i heard Harry Potter get only 2 stars:,0
i heard Psycho get only 2 stars:,0
i heard Start Wars get only 2 stars:,0
i heard Mission Impossible get only 2 stars:,0
Da Vinci Code is dumb.,0
Bat Man is dumb.,0
Brokeback Mountain is dumb.,0
Harry Potter is dumb.,0
Psycho is dumb.,0
Start Wars is dumb.,0
Mission Impossible is dumb.,0
which is probably why i disliked Da Vinci Code...,0
which is probably why i disliked Bat Man...,0
which is probably why i disliked Brokeback Mountain...,0
which is probably why i disliked Harry Potter...,0
which is probably why i disliked Psycho...,0
which is probably why i disliked Start Wars...,0
which is probably why i disliked Mission Impossible...,0
stupid Da Vinci Code reference i did.,0
stupid Bat Man reference i did.,0
stupid Brokeback Mountain reference i did.,0
stupid Harry Potter reference i did.,0
stupid Psycho reference i did.,0
stupid Start Wars reference i did.,0
stupid Mission Impossible reference i did.,0
i thought Da Vinci Code was a terrible movie.,0
i thought Bat Man was a terrible movie.,0
i thought Brokeback Mountain was a terrible movie.,0
i thought Harry Potter was a terrible movie.,0
i thought Psycho was a terrible movie.,0
i thought Start Wars was a terrible movie.,0
i thought Mission Impossible was a terrible movie.,0
Da Vinci Code was incredibly depressing...,0
